id,currentteamid,fullname,currentteam,wins,losses,ties,shutouts,savepercentage,goalagainstaverage,lastupdated
8479979,25,Jake Oettinger,Dallas Stars,5,1,0,1,0.951613,1.401687,"11/12/2022, 01:44:15"
8471734,26,Jonathan Quick,Los Angeles Kings,6,4,0,1,0.90379,2.829312,"11/12/2022, 01:44:16"
8477361,26,Cal Petersen,Los Angeles Kings,3,2,0,0,0.868056,4.301887,"11/12/2022, 01:44:17"
8473503,28,James Reimer,San Jose Sharks,2,5,0,1,0.910345,2.878583,"11/12/2022, 01:44:20"
8478039,28,Kaapo Kahkonen,San Jose Sharks,1,4,0,0,0.877778,3.70007,"11/12/2022, 01:44:21"
8476914,29,Joonas Korpisalo,Columbus Blue Jackets,1,1,0,0,0.911392,3.50438,"11/12/2022, 01:44:24"
8478007,29,Elvis Merzlikins,Columbus Blue Jackets,2,5,0,0,0.862903,4.815296,"11/12/2022, 01:44:24"
8470594,30,Marc-Andre Fleury,Minnesota Wild,5,3,0,0,0.895833,3.167713,"11/12/2022, 01:44:27"
8479406,30,Filip Gustavsson,Minnesota Wild,1,3,0,0,0.903509,3.102476,"11/12/2022, 01:44:29"
8476945,52,Connor Hellebuyck,Winnipeg Jets,7,2,0,2,0.937695,1.981451,"11/12/2022, 01:44:32"
8479496,52,David Rittich,Winnipeg Jets,1,1,0,0,0.884615,3.071236,"11/12/2022, 01:44:33"
8478872,53,Karel Vejmelka,Arizona Coyotes,5,3,0,1,0.91453,3.06053,"11/12/2022, 01:44:36"
8478971,53,Connor Ingram,Arizona Coyotes,1,3,0,0,0.873874,4.422993,"11/12/2022, 01:44:36"
8478499,54,Adin Hill,Vegas Golden Knights,5,0,0,0,0.92517,2.167962,"11/12/2022, 01:44:40"
8480313,54,Logan Thompson,Vegas Golden Knights,8,2,0,2,0.925081,2.314789,"11/12/2022, 01:44:41"
8475831,55,Philipp Grubauer,Seattle Kraken,0,1,0,0,0.860465,3.770291,"11/12/2022, 01:44:41"
8476904,55,Chris Driedger,Seattle Kraken,0,0,0,0,0.0,0.0,"11/12/2022, 01:44:42"
8474889,55,Martin Jones,Seattle Kraken,7,3,0,1,0.906977,2.447869,"11/12/2022, 01:44:42"
8476433,55,Magnus Hellberg,Seattle Kraken,1,0,0,0,0.935484,2.0,"11/12/2022, 01:44:43"
