id,currentteamid,fullname,currentteam,primaryposition,lastupdated,wins,losses,ties,shutouts,savepercentage,goalagainstaverage
8479973,22,Stuart Skinner,Edmonton Oilers,Goalie,"10/27/2022, 19:13:32",1.0,1.0,0.0,0.0,0.956522,1.438849
8477484,23,Spencer Martin,Vancouver Canucks,Goalie,"10/27/2022, 19:13:34",0.0,0.0,0.0,0.0,0.878788,3.788477
8477967,23,Thatcher Demko,Vancouver Canucks,Goalie,"10/27/2022, 19:13:35",0.0,5.0,0.0,0.0,0.871658,4.058434
8476434,24,John Gibson,Anaheim Ducks,Goalie,"10/27/2022, 19:13:38",1.0,4.0,0.0,0.0,0.893023,4.263865
8476932,24,Anthony Stolarz,Anaheim Ducks,Goalie,"10/27/2022, 19:13:39",0.0,1.0,0.0,0.0,0.885246,4.309166
8475809,25,Scott Wedgewood,Dallas Stars,Goalie,"10/27/2022, 19:13:41",0.0,1.0,0.0,0.0,0.906667,3.491756
8479979,25,Jake Oettinger,Dallas Stars,Goalie,"10/27/2022, 19:13:42",4.0,1.0,0.0,0.0,0.95302,1.405074
8471734,26,Jonathan Quick,Los Angeles Kings,Goalie,"10/27/2022, 19:13:44",2.0,3.0,0.0,0.0,0.893048,3.58959
8477361,26,Cal Petersen,Los Angeles Kings,Goalie,"10/27/2022, 19:13:44",2.0,1.0,0.0,0.0,0.842105,4.965517
8473503,28,James Reimer,San Jose Sharks,Goalie,"10/27/2022, 19:13:47",2.0,4.0,0.0,1.0,0.923077,2.548252
8478039,28,Kaapo Kahkonen,San Jose Sharks,Goalie,"10/27/2022, 19:13:48",0.0,3.0,0.0,0.0,0.873418,3.456553
8478007,29,Elvis Merzlikins,Columbus Blue Jackets,Goalie,"10/27/2022, 19:13:51",2.0,2.0,0.0,0.0,0.862595,4.056084
8480193,29,Daniil Tarasov,Columbus Blue Jackets,Goalie,"10/27/2022, 19:13:52",1.0,3.0,0.0,0.0,0.888,3.904858
8470594,30,Marc-Andre Fleury,Minnesota Wild,Goalie,"10/27/2022, 19:13:54",2.0,1.0,0.0,0.0,0.868966,4.296482
8479406,30,Filip Gustavsson,Minnesota Wild,Goalie,"10/27/2022, 19:13:56",0.0,2.0,0.0,0.0,0.859649,5.061511
8476945,52,Connor Hellebuyck,Winnipeg Jets,Goalie,"10/27/2022, 19:13:57",3.0,2.0,0.0,1.0,0.929032,2.197924
8479496,52,David Rittich,Winnipeg Jets,Goalie,"10/27/2022, 19:13:59",0.0,1.0,0.0,0.0,0.870968,4.234049
8478872,53,Karel Vejmelka,Arizona Coyotes,Goalie,"10/27/2022, 19:14:03",1.0,3.0,0.0,0.0,0.877419,4.767547
8478971,53,Connor Ingram,Arizona Coyotes,Goalie,"10/27/2022, 19:14:03",1.0,1.0,0.0,0.0,0.870968,4.017857
8476316,54,Laurent Brossoit,Vegas Golden Knights,Goalie,"10/27/2022, 19:14:06",,,,,,
8478499,54,Adin Hill,Vegas Golden Knights,Goalie,"10/27/2022, 19:14:08",3.0,0.0,0.0,0.0,0.934783,2.001483
8480313,54,Logan Thompson,Vegas Golden Knights,Goalie,"10/27/2022, 19:14:09",3.0,2.0,0.0,1.0,0.931034,2.031488
8475831,55,Philipp Grubauer,Seattle Kraken,Goalie,"10/27/2022, 19:14:09",0.0,1.0,0.0,0.0,0.860465,3.770291
8476904,55,Chris Driedger,Seattle Kraken,Goalie,"10/27/2022, 19:14:09",,,,,,
8474889,55,Martin Jones,Seattle Kraken,Goalie,"10/27/2022, 19:14:10",3.0,2.0,0.0,0.0,0.869919,3.310535
8478916,55,Joey Daccord,Seattle Kraken,Goalie,"10/27/2022, 19:14:12",,,,,,
