id,gamedate,homeid,awayid
2022020008,2022-10-13T01:30:00Z,21,16
2022020009,2022-10-13T02:00:00Z,24,55
2022020010,2022-10-13T02:00:00Z,22,23
2022020011,2022-10-13T23:00:00Z,5,53
2022020012,2022-10-13T23:00:00Z,4,1
2022020013,2022-10-13T23:00:00Z,7,9
2022020014,2022-10-13T23:30:00Z,2,13
2022020015,2022-10-13T23:30:00Z,10,15
2022020017,2022-10-14T00:00:00Z,30,3
2022020016,2022-10-14T00:30:00Z,18,25
2022020018,2022-10-14T01:30:00Z,20,21
2022020019,2022-10-14T02:00:00Z,54,16
2022020020,2022-10-14T02:30:00Z,26,55
2022020021,2022-10-14T23:00:00Z,29,14
2022020022,2022-10-14T23:00:00Z,17,8
2022020023,2022-10-15T00:00:00Z,52,3
2022020024,2022-10-15T02:30:00Z,28,12
2022020025,2022-10-15T17:00:00Z,7,13
2022020026,2022-10-15T20:00:00Z,4,23
2022020027,2022-10-15T23:00:00Z,6,53
2022020028,2022-10-15T23:00:00Z,1,17
2022020029,2022-10-15T23:00:00Z,15,8
2022020030,2022-10-15T23:00:00Z,10,9
2022020031,2022-10-15T23:00:00Z,5,14
2022020032,2022-10-15T23:30:00Z,2,24
2022020033,2022-10-16T00:00:00Z,19,29
2022020034,2022-10-16T00:00:00Z,30,26
2022020035,2022-10-16T00:00:00Z,25,18
2022020036,2022-10-16T02:00:00Z,22,20
2022020037,2022-10-16T02:00:00Z,55,54
2022020038,2022-10-16T02:00:00Z,28,16
2022020039,2022-10-17T23:00:00Z,3,24
2022020040,2022-10-17T23:00:00Z,10,53
2022020041,2022-10-17T23:00:00Z,6,13
2022020042,2022-10-17T23:00:00Z,8,5
2022020043,2022-10-17T23:00:00Z,15,23
2022020044,2022-10-17T23:00:00Z,17,26
2022020045,2022-10-18T00:00:00Z,30,21
2022020046,2022-10-18T00:30:00Z,25,52
2022020047,2022-10-18T02:00:00Z,55,12
2022020048,2022-10-18T23:00:00Z,1,24
2022020049,2022-10-18T23:00:00Z,9,6
2022020050,2022-10-18T23:00:00Z,29,23
2022020053,2022-10-18T23:00:00Z,14,4
2022020051,2022-10-18T23:30:00Z,2,28
2022020054,2022-10-19T01:00:00Z,22,7
2022020055,2022-10-19T01:00:00Z,20,54
2022020052,2022-10-19T01:30:00Z,18,26
2022020056,2022-10-19T23:30:00Z,13,4
2022020057,2022-10-20T00:00:00Z,21,52
2022020058,2022-10-20T02:00:00Z,55,19
2022020059,2022-10-20T23:00:00Z,6,24
2022020060,2022-10-20T23:00:00Z,8,53
2022020061,2022-10-20T23:00:00Z,10,25
2022020062,2022-10-20T23:00:00Z,5,26
2022020063,2022-10-20T23:00:00Z,29,18
2022020064,2022-10-20T23:00:00Z,3,28
2022020065,2022-10-20T23:00:00Z,9,15
2022020066,2022-10-20T23:30:00Z,2,1
2022020067,2022-10-21T00:00:00Z,30,23
2022020069,2022-10-21T01:00:00Z,22,12
2022020068,2022-10-21T01:30:00Z,20,7
2022020070,2022-10-21T02:00:00Z,54,52
2022020071,2022-10-21T23:30:00Z,13,14
2022020072,2022-10-22T00:30:00Z,16,17
2022020073,2022-10-22T01:00:00Z,21,55
2022020074,2022-10-22T17:00:00Z,6,30
2022020075,2022-10-22T17:00:00Z,1,28
2022020076,2022-10-22T20:00:00Z,9,53
2022020077,2022-10-22T20:00:00Z,22,19
2022020078,2022-10-22T23:00:00Z,8,25
2022020079,2022-10-22T23:00:00Z,15,26
2022020080,2022-10-22T23:00:00Z,14,2
2022020081,2022-10-22T23:00:00Z,29,5
2022020082,2022-10-22T23:00:00Z,52,10
2022020083,2022-10-23T00:00:00Z,18,4
2022020084,2022-10-23T02:00:00Z,23,7
2022020085,2022-10-23T02:00:00Z,20,12
2022020086,2022-10-23T02:00:00Z,54,21
2022020087,2022-10-23T18:00:00Z,16,55
2022020088,2022-10-23T21:00:00Z,17,24
2022020089,2022-10-23T21:00:00Z,3,29
2022020090,2022-10-23T21:00:00Z,13,2
2022020091,2022-10-23T23:00:00Z,4,28
2022020092,2022-10-24T23:00:00Z,9,25
2022020093,2022-10-24T23:00:00Z,1,15
2022020094,2022-10-25T00:00:00Z,22,5
2022020095,2022-10-25T00:00:00Z,52,19
2022020096,2022-10-25T02:00:00Z,54,10
2022020097,2022-10-25T02:30:00Z,23,12
2022020098,2022-10-25T23:00:00Z,29,53
2022020100,2022-10-25T23:00:00Z,6,25
2022020101,2022-10-25T23:00:00Z,8,30
2022020102,2022-10-25T23:00:00Z,17,1
2022020099,2022-10-26T00:00:00Z,3,21
2022020103,2022-10-26T00:30:00Z,16,13
2022020104,2022-10-26T01:00:00Z,20,5
2022020105,2022-10-26T02:00:00Z,55,7
2022020106,2022-10-26T02:30:00Z,26,14
2022020107,2022-10-26T02:30:00Z,28,54
2022020108,2022-10-26T23:30:00Z,2,3
2022020109,2022-10-27T00:00:00Z,19,22
2022020110,2022-10-27T02:00:00Z,24,14
2022020111,2022-10-27T23:00:00Z,6,17
2022020112,2022-10-27T23:00:00Z,4,13
2022020113,2022-10-27T23:00:00Z,9,30
2022020114,2022-10-27T23:00:00Z,7,8
2022020115,2022-10-28T00:00:00Z,18,19
2022020116,2022-10-28T00:30:00Z,16,22
2022020117,2022-10-28T00:30:00Z,25,15
2022020118,2022-10-28T02:00:00Z,55,23
2022020119,2022-10-28T02:30:00Z,28,10
2022020120,2022-10-28T02:30:00Z,26,52
2022020121,2022-10-28T22:00:00Z,54,24
2022020122,2022-10-28T23:00:00Z,29,6
2022020123,2022-10-28T23:00:00Z,1,21
2022020124,2022-10-28T23:00:00Z,12,2
2022020125,2022-10-29T02:00:00Z,23,5
2022020126,2022-10-29T02:30:00Z,53,52
2022020127,2022-10-29T18:00:00Z,25,3
2022020128,2022-10-29T20:00:00Z,13,9
2022020129,2022-10-29T20:30:00Z,28,14
2022020130,2022-10-29T23:00:00Z,4,12
2022020131,2022-10-29T23:00:00Z,7,16
2022020132,2022-10-29T23:00:00Z,17,30
2022020133,2022-10-29T23:00:00Z,19,8
2022020134,2022-10-29T23:00:00Z,26,10
2022020135,2022-10-29T23:30:00Z,2,21
2022020136,2022-10-30T00:00:00Z,18,15
2022020137,2022-10-30T02:00:00Z,20,22
2022020138,2022-10-30T02:00:00Z,55,5
2022020139,2022-10-30T18:00:00Z,1,29
2022020140,2022-10-30T23:00:00Z,16,30
2022020141,2022-10-31T00:00:00Z,53,3
2022020142,2022-10-31T00:00:00Z,24,10
2022020143,2022-10-31T00:00:00Z,54,52
2022020144,2022-10-31T23:00:00Z,7,17
2022020145,2022-10-31T23:00:00Z,12,15
2022020146,2022-11-01T00:00:00Z,19,26
2022020148,2022-11-01T23:00:00Z,14,9
2022020149,2022-11-01T23:00:00Z,3,4
2022020150,2022-11-01T23:00:00Z,15,54
2022020147,2022-11-02T00:00:00Z,5,6
2022020151,2022-11-02T00:00:00Z,30,8
2022020152,2022-11-02T00:30:00Z,16,2
2022020153,2022-11-02T00:30:00Z,25,26
2022020154,2022-11-02T01:00:00Z,22,18
2022020155,2022-11-02T01:00:00Z,20,55
2022020156,2022-11-02T02:00:00Z,53,13
2022020157,2022-11-02T02:00:00Z,23,1
2022020158,2022-11-02T02:30:00Z,28,24
2022020159,2022-11-02T23:00:00Z,10,4
2022020160,2022-11-02T23:30:00Z,7,5
2022020162,2022-11-03T23:00:00Z,14,12
2022020163,2022-11-03T23:00:00Z,9,54
2022020164,2022-11-03T23:00:00Z,17,15
2022020161,2022-11-03T23:30:00Z,3,6
2022020165,2022-11-04T00:00:00Z,52,8
2022020166,2022-11-04T00:00:00Z,19,2
2022020167,2022-11-04T00:00:00Z,30,55
2022020168,2022-11-04T00:30:00Z,16,26
2022020169,2022-11-04T01:00:00Z,20,18
2022020170,2022-11-04T01:00:00Z,22,1
2022020171,2022-11-04T02:00:00Z,23,24
2022020172,2022-11-04T02:00:00Z,53,25
2022020173,2022-11-04T02:30:00Z,28,13
2022020175,2022-11-04T18:00:00Z,21,29
2022020174,2022-11-04T23:00:00Z,12,7
2022020181,2022-11-05T17:00:00Z,17,2
2022020185,2022-11-05T18:00:00Z,29,21
2022020176,2022-11-05T19:00:00Z,52,16
2022020177,2022-11-05T20:00:00Z,22,25
2022020178,2022-11-05T23:00:00Z,15,53
2022020179,2022-11-05T23:00:00Z,10,6
2022020180,2022-11-05T23:00:00Z,14,7
2022020182,2022-11-05T23:00:00Z,9,4
2022020183,2022-11-05T23:00:00Z,5,55
2022020184,2022-11-05T23:00:00Z,8,54
2022020186,2022-11-06T02:00:00Z,23,18
2022020187,2022-11-06T02:00:00Z,20,1
2022020188,2022-11-06T02:30:00Z,28,24
2022020189,2022-11-06T02:30:00Z,26,13
2022020190,2022-11-06T22:00:00Z,3,17
2022020191,2022-11-06T22:00:00Z,12,10
2022020192,2022-11-07T02:00:00Z,24,13
2022020193,2022-11-08T00:00:00Z,2,20
2022020194,2022-11-08T00:00:00Z,6,19
2022020195,2022-11-08T01:00:00Z,15,22
2022020196,2022-11-09T00:00:00Z,7,53
2022020197,2022-11-09T00:00:00Z,1,20
2022020198,2022-11-09T00:00:00Z,3,2
2022020199,2022-11-09T00:00:00Z,4,19
2022020200,2022-11-09T00:00:00Z,9,23
2022020201,2022-11-09T00:00:00Z,10,54
2022020203,2022-11-09T00:00:00Z,17,8
2022020202,2022-11-09T00:30:00Z,14,22
2022020204,2022-11-09T01:00:00Z,52,25
2022020205,2022-11-09T03:00:00Z,55,18
2022020206,2022-11-09T03:30:00Z,26,30
2022020207,2022-11-10T00:00:00Z,13,12
2022020208,2022-11-10T00:30:00Z,15,5
2022020209,2022-11-10T00:30:00Z,8,23
2022020210,2022-11-10T03:00:00Z,24,30
2022020211,2022-11-11T00:00:00Z,6,20
2022020212,2022-11-11T00:00:00Z,12,22
2022020213,2022-11-11T00:00:00Z,1,9
2022020214,2022-11-11T00:00:00Z,29,4
2022020215,2022-11-11T00:00:00Z,7,54
2022020217,2022-11-11T00:00:00Z,17,3
2022020216,2022-11-11T00:30:00Z,2,53
2022020218,2022-11-11T01:00:00Z,19,28
2022020219,2022-11-11T02:00:00Z,21,18
2022020220,2022-11-11T03:30:00Z,26,16
2022020221,2022-11-12T00:00:00Z,10,5
2022020222,2022-11-12T00:00:00Z,15,14
2022020223,2022-11-12T01:30:00Z,25,28
2022020224,2022-11-12T03:00:00Z,55,30
2022020225,2022-11-12T18:00:00Z,4,9
2022020226,2022-11-12T21:00:00Z,13,22
2022020227,2022-11-13T00:00:00Z,1,53
2022020228,2022-11-13T00:00:00Z,7,6
2022020229,2022-11-13T00:00:00Z,8,5
2022020230,2022-11-13T00:00:00Z,10,23
2022020231,2022-11-13T00:30:00Z,2,29
2022020232,2022-11-13T01:00:00Z,18,3
2022020233,2022-11-13T02:00:00Z,21,12
2022020234,2022-11-13T03:00:00Z,24,16
2022020235,2022-11-13T03:00:00Z,54,19
2022020236,2022-11-13T03:00:00Z,20,52
2022020237,2022-11-13T03:30:00Z,26,17
2022020238,2022-11-13T18:00:00Z,4,25
2022020240,2022-11-13T23:00:00Z,30,28
2022020241,2022-11-13T23:00:00Z,6,23
2022020239,2022-11-14T00:00:00Z,3,53
2022020242,2022-11-14T00:00:00Z,14,15
2022020243,2022-11-14T01:00:00Z,55,52
2022020244,2022-11-14T22:30:00Z,9,2
2022020245,2022-11-15T01:30:00Z,16,12
2022020246,2022-11-15T01:30:00Z,20,26
2022020247,2022-11-15T02:00:00Z,21,19
2022020248,2022-11-16T00:00:00Z,14,25
2022020249,2022-11-16T00:00:00Z,8,1
2022020251,2022-11-16T00:00:00Z,5,10
2022020252,2022-11-16T00:00:00Z,7,23
2022020253,2022-11-16T00:00:00Z,13,15
2022020250,2022-11-16T00:30:00Z,29,4
2022020254,2022-11-16T01:00:00Z,18,30
2022020255,2022-11-16T03:00:00Z,24,17
2022020256,2022-11-16T03:00:00Z,54,28
2022020257,2022-11-17T00:00:00Z,9,7
2022020258,2022-11-17T00:30:00Z,16,19
2022020259,2022-11-17T03:00:00Z,22,26
2022020260,2022-11-18T00:00:00Z,14,20
2022020261,2022-11-18T00:00:00Z,12,21
2022020262,2022-11-18T00:00:00Z,13,25
2022020263,2022-11-18T00:00:00Z,29,8
2022020264,2022-11-18T00:00:00Z,10,1
2022020265,2022-11-18T00:00:00Z,6,4
2022020266,2022-11-18T01:00:00Z,52,24
2022020267,2022-11-18T01:00:00Z,18,2
2022020268,2022-11-18T01:00:00Z,30,5
2022020269,2022-11-18T01:00:00Z,19,15
2022020270,2022-11-18T03:00:00Z,54,53
2022020271,2022-11-18T03:00:00Z,55,3
2022020272,2022-11-18T03:30:00Z,28,17
2022020273,2022-11-19T03:00:00Z,23,26
2022020274,2022-11-19T18:00:00Z,9,1
2022020275,2022-11-19T21:00:00Z,13,20
2022020276,2022-11-20T00:00:00Z,10,7
2022020277,2022-11-20T00:00:00Z,6,16
2022020278,2022-11-20T00:00:00Z,15,21
2022020279,2022-11-20T00:00:00Z,29,17
2022020280,2022-11-20T00:00:00Z,8,4
